,Unnamed: 0,Unnamed: 0.1,Participant,Trial,Drums,Tempo Ratio,pair,file_name,Liking,Connection,IOS,Difficulty,Pupil Size,Trial Length,LHIPA,Blinks,audioStart,audioEnd,Beat Variance,Recording Length,Calculated Length,File Length,Beat Mean,Bonding,120-080,120-113,120-120,diff,same,Age,Sex,Handedness,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Perceptual Ability
0,0,0,1,1,diff,120-120,A-M,videoStim/120-120_diff_A-M.mp4,82.12962963,73.33333333,88.19444444,2.037037037,5.062227073,6452,4.413416965,17,0,0,,0,0,0,,81.2191358,0,0,1,1,0,18,Female,Right,9.0,8.0,6.0,9.0,10.0,46.0
1,1,1,1,2,diff,120-080,M-J,videoStim/120-080_diff_M-J.mp4,64.16666667,35.83333333,41.43518519,19.72222222,5.072254408,6463,4.674542068,16,0,0,,0,0,0,,47.14506173,1,0,0,1,0,18,Female,Right,9.0,8.0,6.0,9.0,10.0,46.0
2,2,2,1,3,diff,120-113,J-A,videoStim/120-113_diff_J-A.mp4,59.44444444,63.98148148,48.14814815,21.38888889,5.042205355,6364,4.333736311,15,0,0,,0,0,0,,57.19135802,0,1,0,1,0,18,Female,Right,9.0,8.0,6.0,9.0,10.0,46.0
3,3,3,1,4,diff,120-120,J-M,videoStim/120-120_diff_J-M.mp4,85.09259259,95.37037037,90.74074074,0.0,4.791098179,6040,4.40544557,21,0,0,,0,0,0,,90.40123457,0,0,1,1,0,18,Female,Right,9.0,8.0,6.0,9.0,10.0,46.0
4,4,4,1,5,diff,120-113,M-A,videoStim/120-113_diff_M-A.mp4,79.35185185,79.44444444,64.35185185,12.5,4.838195336,6037,4.430730969,17,0,0,,0,0,0,,74.38271605,0,1,0,1,0,18,Female,Right,9.0,8.0,6.0,9.0,10.0,46.0
5,5,5,1,6,diff,120-080,A-J,videoStim/120-080_diff_A-J.mp4,98.33333333,91.75925926,89.81481481,1.574074074,4.84321794,6100,4.537482317,21,0,0,,0,0,0,,93.30246914,1,0,0,1,0,18,Female,Right,9.0,8.0,6.0,9.0,10.0,46.0
6,6,6,2,1,same,120-120,M-A,videoStim/120-120_same_M-A.mp4,85.0,62.5,87.26851852,52.31481481,4.377911144,7041,5.12035417,0,2380791,3607355,0.000440289,1226564,1226564,14596064,0.498252485,78.25617284,0,0,1,0,1,18,Female,Right,6.0,7.0,6.0,7.0,5.0,45.0
7,7,7,2,2,same,120-080,J-M,videoStim/120-080_same_J-M.mp4,53.98148148,56.94444444,54.16666667,44.35185185,4.283911635,7024,5.15124569,0,4517534,5729007,0.000603722,1211473,1211473,14596064,0.499771547,55.0308642,1,0,0,0,1,18,Female,Right,6.0,7.0,6.0,7.0,5.0,45.0
8,8,8,2,3,same,120-113,M-J,videoStim/120-113_same_M-J.mp4,26.66666667,23.24074074,23.14814815,63.61111111,3.772560957,6950,4.889107523,1,6266198,7492183,0.107787835,1225985,1225985,14596064,0.583560838,24.35185185,0,1,0,0,1,18,Female,Right,6.0,7.0,6.0,7.0,5.0,45.0
9,9,9,2,4,same,120-080,J-A,videoStim/120-080_same_J-A.mp4,71.01851852,77.22222222,86.80555556,34.53703704,3.987351833,7007,5.189577392,0,7963281,9176961,0.000760693,1213680,1213680,14596064,0.498799026,78.34876543,1,0,0,0,1,18,Female,Right,6.0,7.0,6.0,7.0,5.0,45.0
10,10,10,2,5,same,120-120,A-J,videoStim/120-120_same_A-J.mp4,57.77777778,60.74074074,59.25925926,40.64814815,5.469895105,6642,4.729299633,6,10426190,11653370,0.000631864,1227180,1227180,14596064,0.497601458,59.25925926,0,0,1,0,1,18,Female,Right,6.0,7.0,6.0,7.0,5.0,45.0
11,11,11,2,6,same,120-113,A-M,videoStim/120-113_same_A-M.mp4,70.55555556,69.35185185,84.49074074,39.35185185,4.962983391,6870,4.820238731,5,12207478,13424834,0.009383528,1217356,1217356,14596064,0.509086553,74.79938272,0,1,0,0,1,18,Female,Right,6.0,7.0,6.0,7.0,5.0,45.0
12,12,12,3,1,diff,120-120,M-A,videoStim/120-120_diff_M-A.mp4,68.88888889,29.72222222,14.12037037,5.740740741,4.741203371,6970,5.128302014,2,4791325,6017043,0.006634972,1225718,1225718,15211840,0.475594428,37.57716049,0,0,1,1,0,18,Female,Right,7.0,4.0,4.0,5.0,8.0,35.0
13,13,13,3,2,diff,120-080,A-M,videoStim/120-080_diff_A-M.mp4,52.31481481,32.22222222,11.34259259,19.62962963,4.816042214,7017,4.976780431,1,6913213,8155707,0.012634538,1242494,1242494,15211840,0.444825247,31.95987654,1,0,0,1,0,18,Female,Right,7.0,4.0,4.0,5.0,8.0,35.0
14,14,14,3,3,diff,120-113,A-J,videoStim/120-113_diff_A-J.mp4,55.0,41.66666667,12.26851852,23.42592593,4.865407539,7080,5.24792352,1,8959447,10178179,0.010833001,1218732,1218732,15211840,0.462037742,36.3117284,0,1,0,1,0,18,Female,Right,7.0,4.0,4.0,5.0,8.0,35.0
15,15,15,3,4,diff,120-080,J-A,videoStim/120-080_diff_J-A.mp4,51.2037037,34.25925926,4.166666667,12.87037037,4.833628783,6895,5.101671986,4,10992259,12215448,0.017789805,1223189,1223189,15211840,0.405059209,29.87654321,1,0,0,1,0,18,Female,Right,7.0,4.0,4.0,5.0,8.0,35.0
16,16,16,3,5,diff,120-113,J-M,videoStim/120-113_diff_J-M.mp4,40.37037037,32.40740741,0.0,31.48148148,4.773915085,6955,5.004609819,2,12765288,13992181,0.00945073,1226893,1226893,15211840,0.461667334,24.25925926,0,1,0,1,0,18,Female,Right,7.0,4.0,4.0,5.0,8.0,35.0
17,17,17,3,6,diff,120-120,M-J,videoStim/120-120_diff_M-J.mp4,48.7962963,33.88888889,0.694444444,27.03703704,4.75041943,6983,5.229301615,1,14624176,14634180,0.017253321,10004,10004,15211840,0.185759637,27.79320988,0,0,1,1,0,18,Female,Right,7.0,4.0,4.0,5.0,8.0,35.0
18,18,18,4,1,same,120-120,J-A,videoStim/120-120_same_J-A.mp4,89.16666667,93.05555556,69.44444444,7.037037037,4.159546671,6649,4.726633814,13,2438864,3667295,0.003806604,1228431,1228431,15421248,0.49218011,83.88888889,0,0,1,0,1,18,Male,Right,8.0,6.0,9.0,9.0,5.0,43.0
19,19,19,4,2,same,120-080,A-M,videoStim/120-080_same_A-M.mp4,86.48148148,83.42592593,67.12962963,21.01851852,4.649808633,5647,4.122715226,18,4982982,6210061,0.002442167,1227079,1227079,15421248,0.491629767,79.01234568,1,0,0,0,1,18,Male,Right,8.0,6.0,9.0,9.0,5.0,43.0
20,20,20,4,3,same,120-113,J-M,videoStim/120-113_same_J-M.mp4,72.96296296,41.75925926,41.43518519,44.35185185,4.394719208,6288,4.575007066,12,7010500,8233961,0.000964472,1223461,1223461,15421248,0.499761593,52.05246914,0,1,0,0,1,18,Male,Right,8.0,6.0,9.0,9.0,5.0,43.0
21,21,21,4,4,same,120-113,M-A,videoStim/120-113_same_M-A.mp4,44.81481481,34.16666667,37.03703704,73.24074074,4.279908193,6396,4.573707269,15,9047503,10273719,0.031637097,1226216,1226216,15421248,0.421019178,38.67283951,0,1,0,0,1,18,Male,Right,8.0,6.0,9.0,9.0,5.0,43.0
22,22,22,4,5,same,120-120,M-J,videoStim/120-120_same_M-J.mp4,58.61111111,69.62962963,62.26851852,40.46296296,4.224755635,5888,4.426035049,21,10994175,12209469,0.022278906,1215294,1215294,15421248,0.361457294,63.50308642,0,0,1,0,1,18,Male,Right,8.0,6.0,9.0,9.0,5.0,43.0
23,23,23,4,6,same,120-080,A-J,videoStim/120-080_same_A-J.mp4,61.01851852,62.31481481,56.25,25.46296296,4.225837174,6377,4.560555956,21,12920553,14143392,0.024503304,1222839,1222839,15421248,0.50146581,59.86111111,1,0,0,0,1,18,Male,Right,8.0,6.0,9.0,9.0,5.0,43.0
24,24,24,5,1,diff,120-120,M-A,videoStim/120-120_diff_M-A.mp4,49.90740741,15.46296296,18.75,74.53703704,4.41625193,6926,5.104567037,0,3066945,4283512,0.019050542,1216567,1216567,22151584,0.367096426,28.04012346,0,0,1,1,0,19,Male,Right,6.0,6.0,4.0,4.0,7.0,41.0
25,25,25,5,2,diff,120-080,A-M,videoStim/120-080_diff_A-M.mp4,48.98148148,29.81481481,30.32407407,27.59259259,3.090800746,6873,4.922056415,3,5324818,6550534,0.058614648,1225716,1225716,22151584,0.535734624,36.37345679,1,0,0,1,0,19,Male,Right,6.0,6.0,4.0,4.0,7.0,41.0
26,26,26,5,3,diff,120-113,M-J,videoStim/120-113_diff_M-J.mp4,45.83333333,24.35185185,27.31481481,26.94444444,2.925398864,7004,5.101685213,0,7751607,8972688,0.027956987,1221081,1221081,22151584,0.483644461,32.5,0,1,0,1,0,19,Male,Right,6.0,6.0,4.0,4.0,7.0,41.0
27,27,27,5,4,diff,120-113,J-A,videoStim/120-113_diff_J-A.mp4,46.48148148,20.27777778,34.49074074,25.27777778,2.892994832,7008,5.027167252,0,9961669,11186976,0.046825506,1225307,1225307,22151584,0.523001836,33.75,0,1,0,1,0,19,Male,Right,6.0,6.0,4.0,4.0,7.0,41.0
28,28,28,5,5,diff,120-080,J-M,videoStim/120-080_diff_J-M.mp4,22.59259259,28.24074074,26.85185185,19.35185185,4.049758606,6966,4.989773539,0,12115596,13343585,0.045640481,1227989,1227989,22151584,0.543811338,25.89506173,1,0,0,1,0,19,Male,Right,6.0,6.0,4.0,4.0,7.0,41.0
29,29,29,5,6,diff,120-120,A-J,videoStim/120-120_diff_A-J.mp4,57.5,61.75925926,46.52777778,19.35185185,3.216228021,6965,4.803295002,0,14295540,15508311,0.028946096,1212771,1212771,22151584,0.522681179,55.26234568,0,0,1,1,0,19,Male,Right,6.0,6.0,4.0,4.0,7.0,41.0
30,30,30,6,1,same,120-120,J-A,videoStim/120-120_same_J-A.mp4,48.14814815,53.42592593,21.52777778,0.0,3.708087915,6411,4.677808866,19,796943,2027245,0.004894757,1230302,1230302,11486528,0.486591616,41.03395062,0,0,1,0,1,18,Female,Right,7.0,5.0,5.0,8.0,9.0,43.0
31,31,31,6,2,same,120-113,M-A,videoStim/120-113_same_M-A.mp4,48.14814815,49.07407407,18.28703704,11.01851852,3.921847926,6477,4.601021286,17,2867886,4094010,0.028795212,1226124,1226124,11486528,0.500073387,38.50308642,0,1,0,0,1,18,Female,Right,7.0,5.0,5.0,8.0,9.0,43.0
32,32,32,6,3,same,120-080,A-J,videoStim/120-080_same_A-J.mp4,50.37037037,51.48148148,21.06481481,2.592592593,3.944321291,6356,4.755869037,20,4738595,5965805,0.004337658,1227210,1227210,11486528,0.486985776,40.97222222,1,0,0,0,1,18,Female,Right,7.0,5.0,5.0,8.0,9.0,43.0
33,33,33,6,4,same,120-120,J-M,videoStim/120-120_same_J-M.mp4,52.12962963,49.62962963,18.51851852,1.574074074,3.793772366,5523,3.908151023,20,6475858,7715417,0.013161679,1239559,1239559,11486528,0.451184485,40.09259259,0,0,1,0,1,18,Female,Right,7.0,5.0,5.0,8.0,9.0,43.0
34,34,34,6,5,same,120-080,A-M,videoStim/120-080_same_A-M.mp4,47.31481481,46.75925926,18.98148148,5.0,3.884849794,6210,4.597338157,21,8191853,9421574,0.01573657,1229721,1229721,11486528,0.435097722,37.68518519,1,0,0,0,1,18,Female,Right,7.0,5.0,5.0,8.0,9.0,43.0
35,35,35,6,6,same,120-113,M-J,videoStim/120-113_same_M-J.mp4,51.94444444,50.46296296,24.53703704,5.740740741,3.461319134,5990,4.233703765,19,9896552,11122933,0.016349048,1226381,1226381,11486528,0.447672854,42.31481481,0,1,0,0,1,18,Female,Right,7.0,5.0,5.0,8.0,9.0,43.0
